event,lon,lat,id,geo,datetime
12049661753,-80.204,68.915,128152,POINT (-80.20399999999999 68.91500000000001),2014-07-09 19:20:00.000
12049654961,-80.206,69.09,128150,POINT (-80.206 69.09),2013-08-30 17:23:00.000
12049680463,-80.206,64.448,128145,POINT (-80.206 64.44799999999999),2014-06-21 01:07:00.000
12049690797,-80.207,66.47,201671,POINT (-80.20699999999999 66.47),2005-10-22 12:43:00.000
12049650204,-80.208,69.359,114505,POINT (-80.208 69.35899999999999),2013-06-18 11:46:00.000
12049686283,-80.215,62.917,128151,POINT (-80.215 62.917),2015-05-20 08:10:00.000
12049684189,-80.216,68.304,128150,POINT (-80.21599999999999 68.304),2014-08-24 13:34:00.000
12049686298,-80.223,62.518,128151,POINT (-80.223 62.518),2015-05-24 16:09:00.000
12049686187,-80.225,62.557,128151,POINT (-80.22499999999999 62.557),2015-04-18 17:21:00.000
12049637132,-80.228,67.546,66353,POINT (-80.22799999999999 67.54600000000001),2006-08-10 08:04:00.000
12049690755,-80.237,66.521,201671,POINT (-80.23699999999999 66.521),2005-10-19 09:42:00.000
12049660204,-80.237,65.272,128152,POINT (-80.23699999999999 65.27200000000001),2013-11-07 03:07:00.000
12049686510,-80.239,62.326,128151,POINT (-80.239 62.326),2015-06-16 09:38:00.000
12049655575,-80.24,64.98,128150,POINT (-80.23999999999999 64.98),2013-11-13 21:40:00.000
12049682025,-80.247,69.352,128146,POINT (-80.247 69.352),2014-06-18 01:16:00.000
12049682659,-80.256,67.514,128146,POINT (-80.256 67.514),2014-10-10 01:59:00.000
12049654379,-80.258,67.328,128150,POINT (-80.258 67.328),2013-07-28 11:26:00.000
12049661562,-80.261,64.365,128152,POINT (-80.261 64.36499999999999),2014-06-26 13:56:00.000
12049651897,-80.263,67.957,128145,POINT (-80.26300000000001 67.95699999999999),2013-07-10 13:26:00.000
